"participant_id","state_current","response_current","state_next","state_next_n","state_next_p"
1,0,"a",0,0,0
1,0,"a",1,0,0
1,0,"a",2,0,0
1,0,"a",3,4,1
1,0,"b",0,0,0
1,0,"b",1,0,0
1,0,"b",2,0,0
1,0,"b",3,3,1
1,1,"a",0,2,0.666666666666667
1,1,"a",1,1,0.333333333333333
1,1,"a",2,0,0
1,1,"a",3,0,0
1,1,"b",0,0,0
1,1,"b",1,4,0.571428571428571
1,1,"b",2,0,0
1,1,"b",3,3,0.428571428571429
1,2,"a",0,0,0
1,2,"a",1,0,0
1,2,"a",2,6,1
1,2,"a",3,0,0
1,2,"b",0,3,0.375
1,2,"b",1,5,0.625
1,2,"b",2,0,0
1,2,"b",3,0,0
1,3,"a",0,2,0.333333333333333
1,3,"a",1,0,0
1,3,"a",2,4,0.666666666666667
1,3,"a",3,0,0
1,3,"b",0,0,0
1,3,"b",1,0,0
1,3,"b",2,4,0.571428571428571
1,3,"b",3,3,0.428571428571429
2,0,"a",0,0,0
2,0,"a",1,0,0
2,0,"a",2,0,0
2,0,"a",3,4,1
2,0,"b",0,0,0
2,0,"b",1,0,0
2,0,"b",2,0,0
2,0,"b",3,4,1
2,1,"a",0,3,0.428571428571429
2,1,"a",1,4,0.571428571428571
2,1,"a",2,0,0
2,1,"a",3,0,0
2,1,"b",0,0,0
2,1,"b",1,3,0.6
2,1,"b",2,0,0
2,1,"b",3,2,0.4
2,2,"a",0,0,0
2,2,"a",1,0,0
2,2,"a",2,3,1
2,2,"a",3,0,0
2,2,"b",0,3,0.375
2,2,"b",1,5,0.625
2,2,"b",2,0,0
2,2,"b",3,0,0
2,3,"a",0,2,0.333333333333333
2,3,"a",1,0,0
2,3,"a",2,4,0.666666666666667
2,3,"a",3,0,0
2,3,"b",0,0,0
2,3,"b",1,0,0
2,3,"b",2,4,0.571428571428571
2,3,"b",3,3,0.428571428571429
3,0,"a",0,0,0
3,0,"a",1,0,0
3,0,"a",2,0,0
3,0,"a",3,4,1
3,0,"b",0,0,0
3,0,"b",1,0,0
3,0,"b",2,0,0
3,0,"b",3,3,1
3,1,"a",0,2,0.4
3,1,"a",1,3,0.6
3,1,"a",2,0,0
3,1,"a",3,0,0
3,1,"b",0,0,0
3,1,"b",1,3,0.5
3,1,"b",2,0,0
3,1,"b",3,3,0.5
3,2,"a",0,0,0
3,2,"a",1,0,0
3,2,"a",2,7,1
3,2,"a",3,0,0
3,2,"b",0,2,0.333333333333333
3,2,"b",1,4,0.666666666666667
3,2,"b",2,0,0
3,2,"b",3,0,0
3,3,"a",0,2,0.333333333333333
3,3,"a",1,0,0
3,3,"a",2,4,0.666666666666667
3,3,"a",3,0,0
3,3,"b",0,0,0
3,3,"b",1,0,0
3,3,"b",2,5,0.714285714285714
3,3,"b",3,2,0.285714285714286
4,0,"a",0,0,0
4,0,"a",1,0,0
4,0,"a",2,7,1
4,0,"a",3,0,0
4,0,"b",0,0,0
4,0,"b",1,0,0
4,0,"b",2,7,1
4,0,"b",3,0,0
4,1,"a",0,1,1
4,1,"a",1,0,0
4,1,"a",2,0,0
4,1,"a",3,0,0
4,1,"b",0,3,1
4,1,"b",1,0,0
4,1,"b",2,0,0
4,1,"b",3,0,0
4,2,"a",0,7,0.636363636363636
4,2,"a",1,0,0
4,2,"a",2,0,0
4,2,"a",3,4,0.363636363636364
4,2,"b",0,0,0
4,2,"b",1,0,0
4,2,"b",2,8,1
4,2,"b",3,0,0
4,3,"a",0,1,0.25
4,3,"a",1,3,0.75
4,3,"a",2,0,0
4,3,"a",3,0,0
4,3,"b",0,0,0
4,3,"b",1,0,0
4,3,"b",2,0,0
4,3,"b",3,3,1
5,0,"a",0,0,0
5,0,"a",1,0,0
5,0,"a",2,8,1
5,0,"a",3,0,0
5,0,"b",0,0,0
5,0,"b",1,0,0
5,0,"b",2,3,1
5,0,"b",3,0,0
5,1,"a",0,2,1
5,1,"a",1,0,0
5,1,"a",2,0,0
5,1,"a",3,0,0
5,1,"b",0,2,1
5,1,"b",1,0,0
5,1,"b",2,0,0
5,1,"b",3,0,0
5,2,"a",0,6,0.6
5,2,"a",1,0,0
5,2,"a",2,0,0
5,2,"a",3,4,0.4
5,2,"b",0,0,0
5,2,"b",1,0,0
5,2,"b",2,12,1
5,2,"b",3,0,0
5,3,"a",0,1,0.25
5,3,"a",1,3,0.75
5,3,"a",2,0,0
5,3,"a",3,0,0
5,3,"b",0,0,0
5,3,"b",1,0,0
5,3,"b",2,0,0
5,3,"b",3,3,1
6,0,"a",0,0,0
6,0,"a",1,0,0
6,0,"a",2,0,0
6,0,"a",3,4,1
6,0,"b",0,0,0
6,0,"b",1,0,0
6,0,"b",2,0,0
6,0,"b",3,3,1
6,1,"a",0,3,0.5
6,1,"a",1,3,0.5
6,1,"a",2,0,0
6,1,"a",3,0,0
6,1,"b",0,0,0
6,1,"b",1,3,0.5
6,1,"b",2,0,0
6,1,"b",3,3,0.5
6,2,"a",0,0,0
6,2,"a",1,0,0
6,2,"a",2,7,1
6,2,"a",3,0,0
6,2,"b",0,2,0.285714285714286
6,2,"b",1,5,0.714285714285714
6,2,"b",2,0,0
6,2,"b",3,0,0
6,3,"a",0,2,0.333333333333333
6,3,"a",1,0,0
6,3,"a",2,4,0.666666666666667
6,3,"a",3,0,0
6,3,"b",0,0,0
6,3,"b",1,0,0
6,3,"b",2,3,0.6
6,3,"b",3,2,0.4
7,0,"a",0,0,0
7,0,"a",1,0,0
7,0,"a",2,10,1
7,0,"a",3,0,0
7,0,"b",0,0,0
7,0,"b",1,0,0
7,0,"b",2,3,1
7,0,"b",3,0,0
7,1,"a",0,2,1
7,1,"a",1,0,0
7,1,"a",2,0,0
7,1,"a",3,0,0
7,1,"b",0,1,1
7,1,"b",1,0,0
7,1,"b",2,0,0
7,1,"b",3,0,0
7,2,"a",0,7,0.538461538461538
7,2,"a",1,0,0
7,2,"a",2,0,0
7,2,"a",3,6,0.461538461538462
7,2,"b",0,0,0
7,2,"b",1,0,0
7,2,"b",2,5,1
7,2,"b",3,0,0
7,3,"a",0,3,0.5
7,3,"a",1,3,0.5
7,3,"a",2,0,0
7,3,"a",3,0,0
7,3,"b",0,0,0
7,3,"b",1,0,0
7,3,"b",2,0,0
7,3,"b",3,4,1
8,0,"a",0,0,0
8,0,"a",1,0,0
8,0,"a",2,8,1
8,0,"a",3,0,0
8,0,"b",0,0,0
8,0,"b",1,0,0
8,0,"b",2,4,1
8,0,"b",3,0,0
8,1,"a",0,2,1
8,1,"a",1,0,0
8,1,"a",2,0,0
8,1,"a",3,0,0
8,1,"b",0,2,1
8,1,"b",1,0,0
8,1,"b",2,0,0
8,1,"b",3,0,0
8,2,"a",0,6,0.545454545454545
8,2,"a",1,0,0
8,2,"a",2,0,0
8,2,"a",3,5,0.454545454545455
8,2,"b",0,0,0
8,2,"b",1,0,0
8,2,"b",2,7,1
8,2,"b",3,0,0
8,3,"a",0,2,0.333333333333333
8,3,"a",1,4,0.666666666666667
8,3,"a",2,0,0
8,3,"a",3,0,0
8,3,"b",0,0,0
8,3,"b",1,0,0
8,3,"b",2,0,0
8,3,"b",3,4,1
9,0,"a",0,0,0
9,0,"a",1,0,0
9,0,"a",2,10,1
9,0,"a",3,0,0
9,0,"b",0,0,0
9,0,"b",1,0,0
9,0,"b",2,1,1
9,0,"b",3,0,0
9,1,"a",0,3,1
9,1,"a",1,0,0
9,1,"a",2,0,0
9,1,"a",3,0,0
9,1,"b",0,0,0
9,1,"b",1,0,0
9,1,"b",2,0,0
9,1,"b",3,0,0
9,2,"a",0,6,0.545454545454545
9,2,"a",1,0,0
9,2,"a",2,0,0
9,2,"a",3,5,0.454545454545455
9,2,"b",0,0,0
9,2,"b",1,0,0
9,2,"b",2,14,1
9,2,"b",3,0,0
9,3,"a",0,2,0.4
9,3,"a",1,3,0.6
9,3,"a",2,0,0
9,3,"a",3,0,0
9,3,"b",0,0,0
9,3,"b",1,0,0
9,3,"b",2,0,0
9,3,"b",3,0,0
10,0,"a",0,0,0
10,0,"a",1,0,0
10,0,"a",2,0,0
10,0,"a",3,2,1
10,0,"b",0,0,0
10,0,"b",1,0,0
10,0,"b",2,0,0
10,0,"b",3,5,1
10,1,"a",0,1,0.333333333333333
10,1,"a",1,2,0.666666666666667
10,1,"a",2,0,0
10,1,"a",3,0,0
10,1,"b",0,0,0
10,1,"b",1,4,0.5
10,1,"b",2,0,0
10,1,"b",3,4,0.5
10,2,"a",0,0,0
10,2,"a",1,0,0
10,2,"a",2,4,1
10,2,"a",3,0,0
10,2,"b",0,4,0.444444444444444
10,2,"b",1,5,0.555555555555556
10,2,"b",2,0,0
10,2,"b",3,0,0
10,3,"a",0,2,0.4
10,3,"a",1,0,0
10,3,"a",2,3,0.6
10,3,"a",3,0,0
10,3,"b",0,0,0
10,3,"b",1,0,0
10,3,"b",2,6,0.75
10,3,"b",3,2,0.25
11,0,"a",0,0,0
11,0,"a",1,0,0
11,0,"a",2,7,1
11,0,"a",3,0,0
11,0,"b",0,0,0
11,0,"b",1,0,0
11,0,"b",2,3,1
11,0,"b",3,0,0
11,1,"a",0,0,0
11,1,"a",1,0,0
11,1,"a",2,0,0
11,1,"a",3,0,0
11,1,"b",0,3,1
11,1,"b",1,0,0
11,1,"b",2,0,0
11,1,"b",3,0,0
11,2,"a",0,4,0.666666666666667
11,2,"a",1,0,0
11,2,"a",2,0,0
11,2,"a",3,2,0.333333333333333
11,2,"b",0,0,0
11,2,"b",1,0,0
11,2,"b",2,9,1
11,2,"b",3,0,0
11,3,"a",0,2,0.5
11,3,"a",1,2,0.5
11,3,"a",2,0,0
11,3,"a",3,0,0
11,3,"b",0,0,0
11,3,"b",1,0,0
11,3,"b",2,0,0
11,3,"b",3,12,1
12,0,"a",0,0,0
12,0,"a",1,0,0
12,0,"a",2,9,1
12,0,"a",3,0,0
12,0,"b",0,0,0
12,0,"b",1,0,0
12,0,"b",2,5,1
12,0,"b",3,0,0
12,1,"a",0,3,1
12,1,"a",1,0,0
12,1,"a",2,0,0
12,1,"a",3,0,0
12,1,"b",0,0,0
12,1,"b",1,0,0
12,1,"b",2,0,0
12,1,"b",3,0,0
12,2,"a",0,8,0.615384615384615
12,2,"a",1,0,0
12,2,"a",2,0,0
12,2,"a",3,5,0.384615384615385
12,2,"b",0,0,0
12,2,"b",1,0,0
12,2,"b",2,6,1
12,2,"b",3,0,0
12,3,"a",0,2,0.4
12,3,"a",1,3,0.6
12,3,"a",2,0,0
12,3,"a",3,0,0
12,3,"b",0,0,0
12,3,"b",1,0,0
12,3,"b",2,0,0
12,3,"b",3,3,1
13,0,"a",0,0,0
13,0,"a",1,0,0
13,0,"a",2,0,0
13,0,"a",3,4,1
13,0,"b",0,0,0
13,0,"b",1,0,0
13,0,"b",2,0,0
13,0,"b",3,3,1
13,1,"a",0,2,0.4
13,1,"a",1,3,0.6
13,1,"a",2,0,0
13,1,"a",3,0,0
13,1,"b",0,0,0
13,1,"b",1,3,0.6
13,1,"b",2,0,0
13,1,"b",3,2,0.4
13,2,"a",0,0,0
13,2,"a",1,0,0
13,2,"a",2,7,1
13,2,"a",3,0,0
13,2,"b",0,4,0.5
13,2,"b",1,4,0.5
13,2,"b",2,0,0
13,2,"b",3,0,0
13,3,"a",0,1,0.25
13,3,"a",1,0,0
13,3,"a",2,3,0.75
13,3,"a",3,0,0
13,3,"b",0,0,0
13,3,"b",1,0,0
13,3,"b",2,5,0.625
13,3,"b",3,3,0.375
14,0,"a",0,0,0
14,0,"a",1,0,0
14,0,"a",2,0,0
14,0,"a",3,3,1
14,0,"b",0,0,0
14,0,"b",1,0,0
14,0,"b",2,0,0
14,0,"b",3,3,1
14,1,"a",0,1,0.25
14,1,"a",1,3,0.75
14,1,"a",2,0,0
14,1,"a",3,0,0
14,1,"b",0,0,0
14,1,"b",1,3,0.6
14,1,"b",2,0,0
14,1,"b",3,2,0.4
14,2,"a",0,0,0
14,2,"a",1,0,0
14,2,"a",2,13,1
14,2,"a",3,0,0
14,2,"b",0,2,0.333333333333333
14,2,"b",1,4,0.666666666666667
14,2,"b",2,0,0
14,2,"b",3,0,0
14,3,"a",0,2,0.4
14,3,"a",1,0,0
14,3,"a",2,3,0.6
14,3,"a",3,0,0
14,3,"b",0,0,0
14,3,"b",1,0,0
14,3,"b",2,3,0.6
14,3,"b",3,2,0.4
15,0,"a",0,0,0
15,0,"a",1,0,0
15,0,"a",2,0,0
15,0,"a",3,3,1
15,0,"b",0,0,0
15,0,"b",1,0,0
15,0,"b",2,0,0
15,0,"b",3,4,1
15,1,"a",0,2,0.5
15,1,"a",1,2,0.5
15,1,"a",2,0,0
15,1,"a",3,0,0
15,1,"b",0,0,0
15,1,"b",1,6,0.666666666666667
15,1,"b",2,0,0
15,1,"b",3,3,0.333333333333333
15,2,"a",0,0,0
15,2,"a",1,0,0
15,2,"a",2,5,1
15,2,"a",3,0,0
15,2,"b",0,2,0.285714285714286
15,2,"b",1,5,0.714285714285714
15,2,"b",2,0,0
15,2,"b",3,0,0
15,3,"a",0,3,0.428571428571429
15,3,"a",1,0,0
15,3,"a",2,4,0.571428571428571
15,3,"a",3,0,0
15,3,"b",0,0,0
15,3,"b",1,0,0
15,3,"b",2,3,0.6
15,3,"b",3,2,0.4
16,0,"a",0,0,0
16,0,"a",1,0,0
16,0,"a",2,0,0
16,0,"a",3,3,1
16,0,"b",0,0,0
16,0,"b",1,0,0
16,0,"b",2,0,0
16,0,"b",3,4,1
16,1,"a",0,1,0.25
16,1,"a",1,3,0.75
16,1,"a",2,0,0
16,1,"a",3,0,0
16,1,"b",0,0,0
16,1,"b",1,2,0.666666666666667
16,1,"b",2,0,0
16,1,"b",3,1,0.333333333333333
16,2,"a",0,0,0
16,2,"a",1,0,0
16,2,"a",2,12,1
16,2,"a",3,0,0
16,2,"b",0,2,0.285714285714286
16,2,"b",1,5,0.714285714285714
16,2,"b",2,0,0
16,2,"b",3,0,0
16,3,"a",0,3,0.428571428571429
16,3,"a",1,0,0
16,3,"a",2,4,0.571428571428571
16,3,"a",3,0,0
16,3,"b",0,0,0
16,3,"b",1,0,0
16,3,"b",2,3,0.75
16,3,"b",3,1,0.25
17,0,"a",0,0,0
17,0,"a",1,0,0
17,0,"a",2,0,0
17,0,"a",3,6,1
17,0,"b",0,0,0
17,0,"b",1,0,0
17,0,"b",2,0,0
17,0,"b",3,4,1
17,1,"a",0,1,0.5
17,1,"a",1,1,0.5
17,1,"a",2,0,0
17,1,"a",3,0,0
17,1,"b",0,0,0
17,1,"b",1,3,0.75
17,1,"b",2,0,0
17,1,"b",3,1,0.25
17,2,"a",0,0,0
17,2,"a",1,0,0
17,2,"a",2,4,1
17,2,"a",3,0,0
17,2,"b",0,4,0.444444444444444
17,2,"b",1,5,0.555555555555556
17,2,"b",2,0,0
17,2,"b",3,0,0
17,3,"a",0,4,0.4
17,3,"a",1,0,0
17,3,"a",2,6,0.6
17,3,"a",3,0,0
17,3,"b",0,0,0
17,3,"b",1,0,0
17,3,"b",2,3,0.6
17,3,"b",3,2,0.4
18,0,"a",0,0,0
18,0,"a",1,0,0
18,0,"a",2,0,0
18,0,"a",3,6,1
18,0,"b",0,0,0
18,0,"b",1,0,0
18,0,"b",2,0,0
18,0,"b",3,6,1
18,1,"a",0,0,0
18,1,"a",1,1,1
18,1,"a",2,0,0
18,1,"a",3,0,0
18,1,"b",0,0,0
18,1,"b",1,0,0
18,1,"b",2,0,0
18,1,"b",3,0,0
18,2,"a",0,0,0
18,2,"a",1,0,0
18,2,"a",2,9,1
18,2,"a",3,0,0
18,2,"b",0,4,0.571428571428571
18,2,"b",1,3,0.428571428571429
18,2,"b",2,0,0
18,2,"b",3,0,0
18,3,"a",0,4,0.444444444444444
18,3,"a",1,0,0
18,3,"a",2,5,0.555555555555556
18,3,"a",3,0,0
18,3,"b",0,0,0
18,3,"b",1,0,0
18,3,"b",2,4,0.666666666666667
18,3,"b",3,2,0.333333333333333
19,0,"a",0,0,0
19,0,"a",1,0,0
19,0,"a",2,6,1
19,0,"a",3,0,0
19,0,"b",0,0,0
19,0,"b",1,0,0
19,0,"b",2,4,1
19,0,"b",3,0,0
19,1,"a",0,3,1
19,1,"a",1,0,0
19,1,"a",2,0,0
19,1,"a",3,0,0
19,1,"b",0,0,0
19,1,"b",1,0,0
19,1,"b",2,0,0
19,1,"b",3,0,0
19,2,"a",0,6,0.6
19,2,"a",1,0,0
19,2,"a",2,0,0
19,2,"a",3,4,0.4
19,2,"b",0,0,0
19,2,"b",1,0,0
19,2,"b",2,16,1
19,2,"b",3,0,0
19,3,"a",0,1,0.25
19,3,"a",1,3,0.75
19,3,"a",2,0,0
19,3,"a",3,0,0
19,3,"b",0,0,0
19,3,"b",1,0,0
19,3,"b",2,0,0
19,3,"b",3,1,1
20,0,"a",0,0,0
20,0,"a",1,0,0
20,0,"a",2,4,1
20,0,"a",3,0,0
20,0,"b",0,0,0
20,0,"b",1,0,0
20,0,"b",2,4,1
20,0,"b",3,0,0
20,1,"a",0,3,1
20,1,"a",1,0,0
20,1,"a",2,0,0
20,1,"a",3,0,0
20,1,"b",0,0,0
20,1,"b",1,0,0
20,1,"b",2,0,0
20,1,"b",3,0,0
20,2,"a",0,4,0.571428571428571
20,2,"a",1,0,0
20,2,"a",2,0,0
20,2,"a",3,3,0.428571428571429
20,2,"b",0,0,0
20,2,"b",1,0,0
20,2,"b",2,14,1
20,2,"b",3,0,0
20,3,"a",0,1,0.25
20,3,"a",1,3,0.75
20,3,"a",2,0,0
20,3,"a",3,0,0
20,3,"b",0,0,0
20,3,"b",1,0,0
20,3,"b",2,0,0
20,3,"b",3,8,1
21,0,"a",0,0,0
21,0,"a",1,0,0
21,0,"a",2,6,1
21,0,"a",3,0,0
21,0,"b",0,0,0
21,0,"b",1,0,0
21,0,"b",2,4,1
21,0,"b",3,0,0
21,1,"a",0,2,1
21,1,"a",1,0,0
21,1,"a",2,0,0
21,1,"a",3,0,0
21,1,"b",0,0,0
21,1,"b",1,0,0
21,1,"b",2,0,0
21,1,"b",3,0,0
21,2,"a",0,6,0.666666666666667
21,2,"a",1,0,0
21,2,"a",2,0,0
21,2,"a",3,3,0.333333333333333
21,2,"b",0,0,0
21,2,"b",1,0,0
21,2,"b",2,15,1
21,2,"b",3,0,0
21,3,"a",0,2,0.5
21,3,"a",1,2,0.5
21,3,"a",2,0,0
21,3,"a",3,0,0
21,3,"b",0,0,0
21,3,"b",1,0,0
21,3,"b",2,0,0
21,3,"b",3,4,1
22,0,"a",0,0,0
22,0,"a",1,0,0
22,0,"a",2,6,1
22,0,"a",3,0,0
22,0,"b",0,0,0
22,0,"b",1,0,0
22,0,"b",2,7,1
22,0,"b",3,0,0
22,1,"a",0,3,1
22,1,"a",1,0,0
22,1,"a",2,0,0
22,1,"a",3,0,0
22,1,"b",0,0,0
22,1,"b",1,0,0
22,1,"b",2,0,0
22,1,"b",3,0,0
22,2,"a",0,6,0.666666666666667
22,2,"a",1,0,0
22,2,"a",2,0,0
22,2,"a",3,3,0.333333333333333
22,2,"b",0,0,0
22,2,"b",1,0,0
22,2,"b",2,13,1
22,2,"b",3,0,0
22,3,"a",0,2,0.4
22,3,"a",1,3,0.6
22,3,"a",2,0,0
22,3,"a",3,0,0
22,3,"b",0,0,0
22,3,"b",1,0,0
22,3,"b",2,0,0
22,3,"b",3,1,1
23,0,"a",0,0,0
23,0,"a",1,0,0
23,0,"a",2,10,1
23,0,"a",3,0,0
23,0,"b",0,0,0
23,0,"b",1,0,0
23,0,"b",2,3,1
23,0,"b",3,0,0
23,1,"a",0,2,1
23,1,"a",1,0,0
23,1,"a",2,0,0
23,1,"a",3,0,0
23,1,"b",0,2,1
23,1,"b",1,0,0
23,1,"b",2,0,0
23,1,"b",3,0,0
23,2,"a",0,6,0.666666666666667
23,2,"a",1,0,0
23,2,"a",2,0,0
23,2,"a",3,3,0.333333333333333
23,2,"b",0,0,0
23,2,"b",1,0,0
23,2,"b",2,10,1
23,2,"b",3,0,0
23,3,"a",0,2,0.4
23,3,"a",1,3,0.6
23,3,"a",2,0,0
23,3,"a",3,0,0
23,3,"b",0,0,0
23,3,"b",1,0,0
23,3,"b",2,0,0
23,3,"b",3,3,1
24,0,"a",0,0,0
24,0,"a",1,0,0
24,0,"a",2,0,0
24,0,"a",3,3,1
24,0,"b",0,0,0
24,0,"b",1,0,0
24,0,"b",2,0,0
24,0,"b",3,1,1
24,1,"a",0,1,0.25
24,1,"a",1,3,0.75
24,1,"a",2,0,0
24,1,"a",3,0,0
24,1,"b",0,0,0
24,1,"b",1,4,0.571428571428571
24,1,"b",2,0,0
24,1,"b",3,3,0.428571428571429
24,2,"a",0,0,0
24,2,"a",1,0,0
24,2,"a",2,9,1
24,2,"a",3,0,0
24,2,"b",0,3,0.375
24,2,"b",1,5,0.625
24,2,"b",2,0,0
24,2,"b",3,0,0
24,3,"a",0,0,0
24,3,"a",1,0,0
24,3,"a",2,2,1
24,3,"a",3,0,0
24,3,"b",0,0,0
24,3,"b",1,0,0
24,3,"b",2,6,0.6
24,3,"b",3,4,0.4
