participant_id,fsm,task,condition,beta_max,p_correct_r3
1,hard,prediction,visible_mm,0.99,0.9973748797433399
1,hard,prediction,visible_fsm,0.99,0.9973748797433399
1,hard,prediction,hidden_mm,0.99,0.9973748797433399
1,hard,prediction,hidden_fsm,0.99,0.9973748797433399
1,hard,prediction,hidden_an_mm,0.99,0.9973748797433399
1,hard,prediction,hidden_an_fsm,0.99,0.9973748797433399
2,hard,explanation,visible_mm,0.0,0.5
2,hard,explanation,visible_fsm,0.0,0.5
2,hard,explanation,hidden_mm,0.06,0.5890404340586651
2,hard,explanation,hidden_fsm,0.06,0.5890404340586651
2,hard,explanation,hidden_an_mm,0.0,0.5
2,hard,explanation,hidden_an_fsm,0.0,0.5
3,hard,control,visible_mm,0.62,0.9763394218445388
3,hard,control,visible_fsm,0.62,0.9763394218445388
3,hard,control,hidden_mm,0.29,0.8506870654691562
3,hard,control,hidden_fsm,0.29,0.8506870654691562
3,hard,control,hidden_an_mm,0.99,0.9973748797433399
3,hard,control,hidden_an_fsm,0.99,0.9973748797433399
4,easy,control,visible_mm,0.25,0.8175744761936437
4,easy,control,visible_fsm,0.25,0.8175744761936437
4,easy,control,hidden_mm,0.0,0.5
4,easy,control,hidden_fsm,0.0,0.5
4,easy,control,hidden_an_mm,0.03,0.5448788923735801
4,easy,control,hidden_an_fsm,0.03,0.5448788923735801
5,easy,prediction,visible_mm,0.0,0.5
5,easy,prediction,visible_fsm,0.0,0.5
5,easy,prediction,hidden_mm,0.12,0.6726070170677604
5,easy,prediction,hidden_fsm,0.12,0.6726070170677604
5,easy,prediction,hidden_an_mm,0.0,0.5
5,easy,prediction,hidden_an_fsm,0.0,0.5
6,hard,prediction,visible_mm,0.0,0.5
6,hard,prediction,visible_fsm,0.0,0.5
6,hard,prediction,hidden_mm,0.32,0.8721384336809187
6,hard,prediction,hidden_fsm,0.32,0.8721384336809187
6,hard,prediction,hidden_an_mm,0.0,0.5
6,hard,prediction,hidden_an_fsm,0.0,0.5
7,easy,prediction,visible_mm,0.0,0.5
7,easy,prediction,visible_fsm,0.0,0.5
7,easy,prediction,hidden_mm,0.99,0.9973748797433399
7,easy,prediction,hidden_fsm,0.99,0.9973748797433399
7,easy,prediction,hidden_an_mm,0.99,0.9973748797433399
7,easy,prediction,hidden_an_fsm,0.99,0.9973748797433399
8,easy,prediction,visible_mm,0.99,0.9973748797433399
8,easy,prediction,visible_fsm,0.99,0.9973748797433399
8,easy,prediction,hidden_mm,0.99,0.9973748797433399
8,easy,prediction,hidden_fsm,0.99,0.9973748797433399
8,easy,prediction,hidden_an_mm,0.31,0.8652969480479719
8,easy,prediction,hidden_an_fsm,0.31,0.8652969480479719
9,easy,prediction,visible_mm,0.76,0.9896462624689082
9,easy,prediction,visible_fsm,0.76,0.9896462624689082
9,easy,prediction,hidden_mm,0.0,0.5
9,easy,prediction,hidden_fsm,0.0,0.5
9,easy,prediction,hidden_an_mm,0.0,0.5
9,easy,prediction,hidden_an_fsm,0.0,0.5
10,hard,prediction,visible_mm,0.02,0.5299640517645717
10,hard,prediction,visible_fsm,0.02,0.5299640517645717
10,hard,prediction,hidden_mm,0.0,0.5
10,hard,prediction,hidden_fsm,0.0,0.5
10,hard,prediction,hidden_an_mm,0.2,0.7685247834990176
10,hard,prediction,hidden_an_fsm,0.2,0.7685247834990176
11,easy,control,visible_mm,0.45,0.9370266439430035
11,easy,control,visible_fsm,0.45,0.9370266439430035
11,easy,control,hidden_mm,0.51,0.9552122969502133
11,easy,control,hidden_fsm,0.51,0.9552122969502133
11,easy,control,hidden_an_mm,0.38,0.907207046882843
11,easy,control,hidden_an_fsm,0.38,0.907207046882843
12,easy,explanation,visible_mm,0.29,0.8506870654691562
12,easy,explanation,visible_fsm,0.29,0.8506870654691562
12,easy,explanation,hidden_mm,0.88,0.9949333706665338
12,easy,explanation,hidden_fsm,0.88,0.9949333706665338
12,easy,explanation,hidden_an_mm,0.74,0.988341583445167
12,easy,explanation,hidden_an_fsm,0.74,0.988341583445167
13,hard,explanation,visible_mm,0.0,0.5
13,hard,explanation,visible_fsm,0.0,0.5
13,hard,explanation,hidden_mm,0.0,0.5
13,hard,explanation,hidden_fsm,0.0,0.5
13,hard,explanation,hidden_an_mm,0.08,0.617747874769249
13,hard,explanation,hidden_an_fsm,0.08,0.617747874769249
14,hard,explanation,visible_mm,0.13,0.6856801139382538
14,hard,explanation,visible_fsm,0.13,0.6856801139382538
14,hard,explanation,hidden_mm,0.3,0.8581489350995122
14,hard,explanation,hidden_fsm,0.3,0.8581489350995122
14,hard,explanation,hidden_an_mm,0.31,0.8652969480479719
14,hard,explanation,hidden_an_fsm,0.31,0.8652969480479719
15,hard,explanation,visible_mm,0.68,0.9833736438921185
15,hard,explanation,visible_fsm,0.68,0.9833736438921185
15,hard,explanation,hidden_mm,0.0,0.5
15,hard,explanation,hidden_fsm,0.0,0.5
15,hard,explanation,hidden_an_mm,0.27,0.8347951298093853
15,hard,explanation,hidden_an_fsm,0.27,0.8347951298093853
16,hard,control,visible_mm,0.99,0.9973748797433399
16,hard,control,visible_fsm,0.99,0.9973748797433399
16,hard,control,hidden_mm,0.86,0.9942910792229767
16,hard,control,hidden_fsm,0.86,0.9942910792229767
16,hard,control,hidden_an_mm,0.31,0.8652969480479719
16,hard,control,hidden_an_fsm,0.31,0.8652969480479719
17,hard,control,visible_mm,0.99,0.9973748797433399
17,hard,control,visible_fsm,0.99,0.9973748797433399
17,hard,control,hidden_mm,0.49,0.9497887268097334
17,hard,control,hidden_fsm,0.49,0.9497887268097334
17,hard,control,hidden_an_mm,0.2,0.7685247834990176
17,hard,control,hidden_an_fsm,0.2,0.7685247834990176
18,hard,control,visible_mm,0.36,0.8965995485417504
18,hard,control,visible_fsm,0.36,0.8965995485417504
18,hard,control,hidden_mm,0.41,0.9212896628294648
18,hard,control,hidden_fsm,0.41,0.9212896628294648
18,hard,control,hidden_an_mm,0.08,0.617747874769249
18,hard,control,hidden_an_fsm,0.08,0.617747874769249
19,easy,explanation,visible_mm,0.0,0.5
19,easy,explanation,visible_fsm,0.0,0.5
19,easy,explanation,hidden_mm,0.0,0.5
19,easy,explanation,hidden_fsm,0.0,0.5
19,easy,explanation,hidden_an_mm,0.07,0.6034832498647262
19,easy,explanation,hidden_an_fsm,0.07,0.6034832498647262
20,easy,explanation,visible_mm,0.19,0.7576796390037048
20,easy,explanation,visible_fsm,0.19,0.7576796390037048
20,easy,explanation,hidden_mm,0.0,0.5
20,easy,explanation,hidden_fsm,0.0,0.5
20,easy,explanation,hidden_an_mm,0.03,0.5448788923735801
20,easy,explanation,hidden_an_fsm,0.03,0.5448788923735801
21,easy,explanation,visible_mm,0.0,0.5
21,easy,explanation,visible_fsm,0.0,0.5
21,easy,explanation,hidden_mm,0.0,0.5
21,easy,explanation,hidden_fsm,0.0,0.5
21,easy,explanation,hidden_an_mm,0.0,0.5
21,easy,explanation,hidden_an_fsm,0.0,0.5
22,easy,control,visible_mm,0.99,0.9973748797433399
22,easy,control,visible_fsm,0.99,0.9973748797433399
22,easy,control,hidden_mm,0.43,0.9295632691071829
22,easy,control,hidden_fsm,0.43,0.9295632691071829
22,easy,control,hidden_an_mm,0.39,0.9121360851706987
22,easy,control,hidden_an_fsm,0.39,0.9121360851706987
23,easy,control,visible_mm,0.65,0.9801596942659225
23,easy,control,visible_fsm,0.65,0.9801596942659225
23,easy,control,hidden_mm,0.0,0.5
23,easy,control,hidden_fsm,0.0,0.5
23,easy,control,hidden_an_mm,0.53,0.9600746660471862
23,easy,control,hidden_an_fsm,0.53,0.9600746660471862
24,hard,prediction,visible_mm,0.0,0.5
24,hard,prediction,visible_fsm,0.0,0.5
24,hard,prediction,hidden_mm,0.02,0.5299640517645717
24,hard,prediction,hidden_fsm,0.02,0.5299640517645717
24,hard,prediction,hidden_an_mm,0.2,0.7685247834990176
24,hard,prediction,hidden_an_fsm,0.2,0.7685247834990176
